datetime,u_component_of_wind_10m,v_component_of_wind_10m,wind_speed,wind_direction_deg,wind_direction_cardinal
2024-03-04 22:00:00,-3.403778076171875,-2.0949325561523438,3.9968046745688364,58.388836391316346,NE
2024-03-04 23:00:00,-3.020904541015625,-2.3266115188598633,3.8130021512740093,52.39759706180972,NE
2024-03-05 00:00:00,-2.68511962890625,-2.578737258911133,3.72286895713966,46.15778815676652,NE
2024-03-05 01:00:00,-2.4992828369140625,-2.670651435852051,3.6577033491949322,43.10150317846504,NE
2024-03-05 02:00:00,-2.28118896484375,-2.6254730224609375,3.4780643589495392,40.98632511618151,NE
2024-03-05 03:00:00,-2.0409393310546875,-2.565066337585449,3.2779564776335857,38.508117808648535,NE
2024-03-05 04:00:00,-2.167755126953125,-2.8122873306274414,3.550791787818483,37.62559859916936,NE
2024-03-05 05:00:00,-1.7071990966796875,-2.7649192810058594,3.249508791522482,31.6932514373139,NE
2024-03-05 06:00:00,-1.4725494384765625,-2.7888975143432617,3.1537836314921264,27.83423951068835,NE
2024-03-05 07:00:00,-1.8419036865234375,-2.1243114471435547,2.811638012777209,40.92722278723323,NE
2024-03-05 08:00:00,-1.83123779296875,-1.714569091796875,2.508620940864167,46.884539582875426,NE
2024-03-05 09:00:00,-1.78631591796875,-1.4839725494384766,2.3223046928160547,50.28207092195259,NE
2024-03-05 10:00:00,-1.6365203857421875,-0.9965133666992188,1.9160474584310196,58.66184278604144,NE
2024-03-05 11:00:00,-1.51824951171875,-0.4780254364013672,1.5917254467027095,72.52323441165888,E
2024-03-05 12:00:00,-1.277923583984375,0.007592201232910156,1.2779461365891096,90.34039278677152,E
2024-03-05 13:00:00,-0.91778564453125,0.5305538177490234,1.0601027510744918,120.03136164308948,SE
2024-03-05 14:00:00,-0.6066436767578125,0.8273229598999023,1.0259043963877787,143.74885669563912,SE
2024-03-05 15:00:00,-0.271331787109375,0.8827476501464844,0.9235065525133578,162.91404492536907,S
2024-03-05 16:00:00,0.047393798828125,0.6855392456054688,0.6871755448447477,183.95477119927597,S
2024-03-05 17:00:00,0.158599853515625,0.5087127685546875,0.5328626412367007,197.31575528867975,S
2024-03-05 18:00:00,0.2321014404296875,0.5030126571655273,0.5539790717330937,204.76967075010916,SW
2024-03-05 19:00:00,0.5654754638671875,-0.2968902587890625,0.638675446529493,297.7007151033371,NW
2024-03-05 20:00:00,0.752899169921875,-0.6835479736328125,1.016904613189739,312.2359248694713,NW
2024-03-05 21:00:00,1.00421142578125,-0.95501708984375,1.385820417501213,313.5616605315573,NW
2024-03-05 22:00:00,1.11566162109375,-1.00018310546875,1.498354796851082,311.87601191764537,NW
2024-03-05 23:00:00,1.1751251220703125,-1.2180938720703125,1.69253411596222,316.0285993639198,NW
2024-03-06 00:00:00,1.070343017578125,-1.4014034271240234,1.7633960816654903,322.6286720371019,NW
2024-03-06 01:00:00,0.971710205078125,-1.477217674255371,1.7681608466950678,326.6631780988398,NW
2024-03-06 02:00:00,0.6456146240234375,-1.4357633590698242,1.5742409809175943,335.7881490197211,NW
2024-03-06 03:00:00,0.091400146484375,-1.4459819793701172,1.4488677894965045,356.38316048481397,N
2024-03-06 04:00:00,-0.8052520751953125,-1.5160579681396484,1.7166428479349094,27.974943412645946,NE
2024-03-06 05:00:00,-1.9195556640625,-1.5446052551269531,2.4638383351186466,51.17747502682857,NE
2024-03-06 06:00:00,-3.0131683349609375,-1.4394111633300781,3.3393244693995396,64.4658741556652,NE
2024-03-06 07:00:00,-3.051666259765625,-1.4043245315551758,3.3592847975305076,65.28892266399156,NE
2024-03-06 08:00:00,-3.38604736328125,-1.3087272644042969,3.6301630540485452,68.86818909753977,E
2024-03-06 09:00:00,-4.14044189453125,-0.9767751693725586,4.254097884803818,76.7260021963493,E
2024-03-06 10:00:00,-4.3466033935546875,-1.063248634338379,4.474757950915731,76.25445813421732,E
2024-03-06 11:00:00,-4.4158782958984375,-1.2042427062988281,4.577136836479855,74.74594088647483,E
2024-03-06 12:00:00,-4.168060302734375,-1.4564743041992188,4.415206007200884,70.73869829074125,E
2024-03-06 13:00:00,-4.1825408935546875,-1.6454477310180664,4.494568562361659,68.52489504421888,E
2024-03-06 14:00:00,-4.2534942626953125,-1.6840705871582031,4.574746679906256,68.40008066046563,E
2024-03-06 15:00:00,-4.151611328125,-1.6376562118530273,4.462935635659183,68.47261028046589,E
2024-03-06 16:00:00,-3.8626251220703125,-1.645242691040039,4.198415932952495,66.92895357581776,NE
2024-03-06 17:00:00,-3.9396514892578125,-1.5853328704833984,4.2466615319620695,68.07993153986457,E
2024-03-06 18:00:00,-4.0211334228515625,-1.4798965454101562,4.284811289834225,69.79488589673082,E
2024-03-06 19:00:00,-3.9636077880859375,-0.7448348999023438,4.032984716793263,79.3571871646737,E
2024-03-06 20:00:00,-3.9717559814453125,-0.6415309906005859,4.023233474215433,80.82464526288615,E
2024-03-06 21:00:00,-3.758575439453125,-0.6589536666870117,3.815902156620438,80.05596236159926,E
2024-03-06 22:00:00,-3.418487548828125,-0.8084564208984375,3.512785064017557,76.69428236657967,E
2024-03-06 23:00:00,-2.9990081787109375,-1.147186279296875,3.210932328060201,69.06705329592286,E
2024-03-07 00:00:00,-2.719818115234375,-1.52362060546875,3.117503861964894,60.74279571103872,NE
2024-03-07 01:00:00,-2.6666412353515625,-1.6383819580078125,3.1297397525038435,58.43347196911014,NE
2024-03-07 02:00:00,-2.651092529296875,-1.5572052001953125,3.0746023538677365,59.57077184441806,NE
2024-03-07 03:00:00,-2.5742950439453125,-1.5281982421875,2.9937242425958948,59.30504060416532,NE
2024-03-07 04:00:00,-2.526885986328125,-1.5500640869140625,2.9644310518954877,58.47385734815553,NE
2024-03-07 05:00:00,-2.4580535888671875,-1.519317626953125,2.8896978211074833,58.27987819541203,NE
2024-03-07 06:00:00,-2.368743896484375,-1.40625,2.7547208042979565,59.30370565020329,NE
2024-03-07 07:00:00,-2.6563720703125,-1.306396484375,2.9602338337238963,63.81216735621591,NE
2024-03-07 08:00:00,-3.153228759765625,-0.937286376953125,3.2895831595864813,73.44560003360236,E
2024-03-07 09:00:00,-3.75067138671875,-0.6175994873046875,3.80117941932103,80.64937292163296,E
2024-03-07 10:00:00,-3.7777252197265625,-0.67236328125,3.837092677761559,79.90811581567495,E
2024-03-07 11:00:00,-3.599090576171875,-0.8216094970703125,3.691679176359361,77.14073032238262,E
2024-03-07 12:00:00,-3.428802490234375,-0.946014404296875,3.5569129551023067,74.57569802731238,E
2024-03-07 13:00:00,-3.235137939453125,-1.11773681640625,3.4227844042590516,70.94002170464587,E
2024-03-07 14:00:00,-3.0891571044921875,-1.1539306640625,3.297642732877271,69.51721593770388,E
2024-03-07 15:00:00,-2.8330841064453125,-1.0588836669921875,3.024499987504688,69.50644249860804,E
2024-03-07 16:00:00,-2.056060791015625,-0.7632904052734375,2.1931708139436576,69.63309911920325,E
