Kod,District_code,Nazwa,percent_of_total_deaths
2008000,2008,Powiat moniecki,7
2009000,2009,Powiat sejneński,7.9
2010000,2010,Powiat siemiatycki,6.5
2011000,2011,Powiat sokólski,4.9
2012000,2012,Powiat suwalski,5.9
2013000,2013,Powiat wysokomazowiecki,7.6
2014000,2014,Powiat zambrowski,5.7
2061000,2061,Powiat m. Białystok,7.5
2062000,2062,Powiat m. Łomża,5.8
2063000,2063,Powiat m. Suwałki,8.3
2201000,2201,Powiat bytowski,8.2
2202000,2202,Powiat chojnicki,8.1
2203000,2203,Powiat człuchowski,7.2
2204000,2204,Powiat gdański,8.4
2205000,2205,Powiat kartuski,8.1
2206000,2206,Powiat kościerski,9.7
2207000,2207,Powiat kwidzyński,6.5
2208000,2208,Powiat lęborski,7.3
2209000,2209,Powiat malborski,8.5
2210000,2210,Powiat nowodworski,6.8
2211000,2211,Powiat pucki,9.6
2212000,2212,Powiat słupski,9
2213000,2213,Powiat starogardzki,9.2
2214000,2214,Powiat tczewski,9.7
2215000,2215,Powiat wejherowski,8.8
2216000,2216,Powiat sztumski,6.9
2261000,2261,Powiat m. Gdańsk,9.5
2262000,2262,Powiat m. Gdynia,8.8
2263000,2263,Powiat m. Słupsk,10.6
2264000,2264,Powiat m. Sopot,8.7
2401000,2401,Powiat będziński,7.7
2402000,2402,Powiat bielski,6.1
2403000,2403,Powiat cieszyński,6.3
2404000,2404,Powiat częstochowski,5.2
2405000,2405,Powiat gliwicki,4.9
2406000,2406,Powiat kłobucki,5
2407000,2407,Powiat lubliniecki,8.1
2408000,2408,Powiat mikołowski,6.2
2409000,2409,Powiat myszkowski,5.1
2410000,2410,Powiat pszczyński,5.6
2411000,2411,Powiat raciborski,5.8
2412000,2412,Powiat rybnicki,5.1
2413000,2413,Powiat tarnogórski,6.7
2414000,2414,Powiat bieruńsko-lędziński,3.3
2415000,2415,Powiat wodzisławski,7.6
2416000,2416,Powiat zawierciański,4.9
2417000,2417,Powiat żywiecki,5.6
2461000,2461,Powiat m. Bielsko-Biała,5.8
2462000,2462,Powiat m. Bytom,7.7
2463000,2463,Powiat m. Chorzów,8.9
