"Kod";"Nazwa";"choroby układu oddechowego ogółem;2023;[%]";
3009000;"Powiat kolski";6,1;
3010000;"Powiat koniński";7,5;
3011000;"Powiat kościański";6,7;
3012000;"Powiat krotoszyński";4,6;
3013000;"Powiat leszczyński";8,6;
3014000;"Powiat międzychodzki";6,7;
3015000;"Powiat nowotomyski";6,4;
3016000;"Powiat obornicki";9,5;
3017000;"Powiat ostrowski";8,4;
3018000;"Powiat ostrzeszowski";7,0;
3019000;"Powiat pilski";7,3;
3020000;"Powiat pleszewski";7,6;
3021000;"Powiat poznański";8,4;
3022000;"Powiat rawicki";10,0;
3023000;"Powiat słupecki";8,0;
3024000;"Powiat szamotulski";7,4;
3025000;"Powiat średzki";7,1;
3026000;"Powiat śremski";5,9;
3027000;"Powiat turecki";5,1;
3028000;"Powiat wągrowiecki";10,0;
3029000;"Powiat wolsztyński";6,2;
3030000;"Powiat wrzesiński";7,3;
3031000;"Powiat złotowski";6,6;
3061000;"Powiat m. Kalisz";13,2;
3062000;"Powiat m. Konin";7,3;
3063000;"Powiat m. Leszno";6,1;
3064000;"Powiat m. Poznań";8,7;
3200000;"ZACHODNIOPOMORSKIE";6,5;
3201000;"Powiat białogardzki";6,1;
3202000;"Powiat choszczeński";7,0;
3203000;"Powiat drawski";3,8;
3204000;"Powiat goleniowski";5,2;
3205000;"Powiat gryficki";5,9;
3206000;"Powiat gryfiński";3,8;
3207000;"Powiat kamieński";3,8;
3208000;"Powiat kołobrzeski";4,8;
3209000;"Powiat koszaliński";8,0;
3210000;"Powiat myśliborski";4,7;
3211000;"Powiat policki";7,0;
3212000;"Powiat pyrzycki";6,0;
3213000;"Powiat sławieński";6,0;
3214000;"Powiat stargardzki";7,9;
3215000;"Powiat szczecinecki";6,6;
3216000;"Powiat świdwiński";5,9;
3217000;"Powiat wałecki";6,3;
3218000;"Powiat łobeski";4,8;
3261000;"Powiat m. Koszalin";8,6;
3262000;"Powiat m. Szczecin";7,6;
3263000;"Powiat m. Świnoujście";6,4;
